# Instance: p_25.dat
# Objective value: 29399
y[1] 1
y[2] 0
y[3] 1
y[4] 0
y[5] 0
y[6] 0
y[7] 0
y[8] 1
y[9] 1
y[10] 0
y[11] 0
y[12] 1
y[13] 0
y[14] 0
y[15] 1
y[16] 0
y[17] 0
y[18] 1
y[19] 0
y[20] 0
y[21] 0
y[22] 1
y[23] 0
y[24] 0
y[25] 0
y[26] 0
y[27] 0
y[28] 0
y[29] 0
y[30] 0
x[1,1] 0
x[1,2] 0
x[1,3] 1
x[1,4] 1
x[1,5] 0
x[1,6] 0
x[1,7] 1
x[1,8] 1
x[1,9] 0
x[1,10] 0
x[1,11] 0
x[1,12] 0
x[1,13] 0
x[1,14] 0
x[1,15] 0
x[1,16] 0
x[1,17] 0
x[1,18] 1
x[1,19] 0
x[1,20] 0
x[1,21] 0
x[1,22] 1
x[1,23] 0
x[1,24] 0
x[1,25] 0
x[1,26] 0
x[1,27] 0
x[1,28] 0
x[1,29] 0
x[1,30] 0
x[1,31] 0
x[1,32] 0
x[1,33] 0
x[1,34] 0
x[1,35] 0
x[1,36] 0
x[1,37] 0
x[1,38] 0
x[1,39] 0
x[1,40] 0
x[1,41] 1
x[1,42] 0
x[1,43] 0
x[1,44] 0
x[1,45] 0
x[1,46] 0
x[1,47] 0
x[1,48] 0
x[1,49] 1
x[1,50] 1
x[1,51] 0
x[1,52] 0
x[1,53] 0
x[1,54] 0
x[1,55] 0
x[1,56] 0
x[1,57] 0
x[1,58] 0
x[1,59] 0
x[1,60] 0
x[1,61] 1
x[1,62] 0
x[1,63] 0
x[1,64] 0
x[1,65] 0
x[1,66] 1
x[1,67] 0
x[1,68] 1
x[1,69] 0
x[1,70] 0
x[1,71] 0
x[1,72] 0
x[1,73] 0
x[1,74] 1
x[1,75] 1
x[1,76] 0
x[1,77] 0
x[1,78] 0
x[1,79] 0
x[1,80] 0
x[1,81] 0
x[1,82] 0
x[1,83] 0
x[1,84] 0
x[1,85] 0
x[1,86] 0
x[1,87] 0
x[1,88] 1
x[1,89] 0
x[1,90] 1
x[1,91] 0
x[1,92] 0
x[1,93] 0
x[1,94] 0
x[1,95] 0
x[1,96] 0
x[1,97] 0
x[1,98] 0
x[1,99] 0
x[1,100] 1
x[1,101] 0
x[1,102] 0
x[1,103] 0
x[1,104] 0
x[1,105] 0
x[1,106] 0
x[1,107] 0
x[1,108] 0
x[1,109] 0
x[1,110] 0
x[1,111] 0
x[1,112] 0
x[1,113] 0
x[1,114] 0
x[1,115] 0
x[1,116] 0
x[1,117] 0
x[1,118] 1
x[1,119] 0
x[1,120] 1
x[1,121] 1
x[1,122] 0
x[1,123] 0
x[1,124] 0
x[1,125] 0
x[1,126] 1
x[1,127] 0
x[1,128] 0
x[1,129] 0
x[1,130] 0
x[1,131] 0
x[1,132] 0
x[1,133] 0
x[1,134] 1
x[1,135] 0
x[1,136] 0
x[1,137] 0
x[1,138] 0
x[1,139] 0
x[1,140] 0
x[1,141] 1
x[1,142] 0
x[1,143] 0
x[1,144] 0
x[1,145] 0
x[1,146] 0
x[1,147] 0
x[1,148] 0
x[1,149] 0
x[1,150] 0
x[2,1] 0
x[2,2] 0
x[2,3] 0
x[2,4] 0
x[2,5] 0
x[2,6] 0
x[2,7] 0
x[2,8] 0
x[2,9] 0
x[2,10] 0
x[2,11] 0
x[2,12] 0
x[2,13] 0
x[2,14] 0
x[2,15] 0
x[2,16] 0
x[2,17] 0
x[2,18] 0
x[2,19] 0
x[2,20] 0
x[2,21] 0
x[2,22] 0
x[2,23] 0
x[2,24] 0
x[2,25] 0
